=== НЕПРЕРЫВНОЕ ПОТОКОВОЕ ОБУЧЕНИЕ ИЗ ИНТЕРНЕТА (20 МИНУТ) ===

[00:50:11 | Chunk #1     | Streamed: 1.0 KB | loss      : 0.217592 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0018  observed 0.0018  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #2     | Streamed: 2.0 KB | loss      : 0.191281 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0020  observed 0.0020  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #3     | Streamed: 3.0 KB | loss      : 0.090096 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #4     | Streamed: 4.0 KB | loss      : 0.159499 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0018  observed 0.0017  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #5     | Streamed: 5.0 KB | loss      : 0.016116 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0004  observed 0.0004  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #6     | Streamed: 6.0 KB | loss      : 0.058540 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0013  observed 0.0013  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #7     | Streamed: 7.0 KB | loss      : 0.036517 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0004  observed 0.0004  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #8     | Streamed: 8.0 KB | loss      : 0.036578 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0007  observed 0.0007  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #9     | Streamed: 9.0 KB | loss      : 0.151989 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0016  observed 0.0016  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #10    | Streamed: 10.0 KB | loss      : 0.077182 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0009  observed 0.0009  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #11    | Streamed: 11.0 KB | loss      : 0.151932 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0024  observed 0.0024  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #12    | Streamed: 12.0 KB | loss      : 0.072574 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0010  observed 0.0010  gap 0.0000  (256 выстрелов) | Осталось: 20.0 мин
[00:50:12 | Chunk #13    | Streamed: 13.0 KB | loss      : 0.141957 (11 шагов Active Inference, gamma=0.5) | qcm       : theory 0.0018  observed 0.0018  gap 0.0001  (256 выстрелов) | Осталось: 20.0 мин
